Order_ID,Order_Date,Shipping_date,Aging,Ship_Mode,Product_Category,Product,jan_Sales,feb_sales,Quantity,Discount,Profit, Shipping_Cost ,Order_Priority,Customer_ID,Customer_Name,Segment,City,State,Country,Region,comments
AU-2015-1,11/9/2015,11/17/2015,8,First Class,Auto & Accessories,Car Media Players,140,192,2,0.05,46,$4.60 ,Medium,LS-001,Lane Daniels,Consumer,Brisbane,Queensland,Australia,Oceania,no
AU-2015-2,6/30/2015,7/2/2015,2,First Class,Auto & Accessories,Car Speakers,211,65,3,0.03,112,$11.20 ,Medium,IZ-002,Alvarado Kriz,Home Office,Berlin,Berlin,Germany,Central,no
AU-2015-3,12/5/2015,12/13/2015,8,First Class,Auto & Accessories,Car Body Covers,117,130,5,0.01,31.2,$3.10 ,Critical,EN-003,Moon Weien,Consumer,Porirua,Wellington,New Zealand,Oceania,yes
AU-2015-4,5/9/2015,5/16/2015,7,First Class,Auto & Accessories,Car & Bike Care,118,220,2,0.05,26.2,$2.60 ,High,AN-004,Sanchez Bergman,Corporate,Kabul,Kabul,Afghanistan,Central Asia,no
AU-2015-5,7/9/2015,7/18/2015,9,First Class,Auto & Accessories,Tyre,250,104,1,0.04,160,$16.00 ,Critical,ON-005,Rowe Jackson,Corporate,Townsville,Queensland,Australia,Oceania,no
AU-2015-6,2/25/2015,3/5/2015,8,First Class,Auto & Accessories,Bike Tyres,72,149,3,0.04,24,$2.40 ,Critical,TO-006,Carter Barreto,Corporate,Bytom,Silesia,Poland,EMEA,no
AU-2015-7,4/9/2015,4/10/2015,1,First Class,Auto & Accessories,Car Mat,54,222,1,0.05,54,$5.40 ,High,OM-007,Mcconnell Tom,Consumer,Chicago,Illinois,United States,Central,no
AU-2015-8,3/30/2015,4/6/2015,7,First Class,Auto & Accessories,Car Seat Covers,114,199,5,0.02,22.6,$2.30 ,Critical,AN-008,Dennis Holloman,Corporate,Suzhou,Anhui,China,North Asia,no
AU-2015-9,2/9/2015,2/16/2015,7,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,111,5,0.03,116.4,$11.60 ,Critical,EN-009,Wall Olsen,Consumer,Juárez,Chihuahua,Mexico,North,no
AU-2015-10,4/21/2015,5/1/2015,10,First Class,Auto & Accessories,Car Media Players,140,33,2,0.02,54.4,$5.40 ,Critical,TT-0010,Shepard Witt,Consumer,Soyapango,San Salvador,El Salvador,Central,no
AU-2015-11,11/16/2015,11/26/2015,10,First Class,Auto & Accessories,Car Speakers,211,250,4,0.01,122.6,$12.30 ,Critical,ED-0011,Johns Reed,Corporate,Taipei,Taipei City,Taiwan,North Asia,no
AU-2015-12,9/1/2015,9/2/2015,1,First Class,Auto & Accessories,Car Body Covers,117,83,4,0.04,18.3,$1.80 ,High,ON-0012,Doyle Knutson,Home Office,Los Angeles,California,United States,West,no
